name,code
Bhutan,BR
Saint Martin,WS
French Polynesia,BN
Iraq,BG
Egypt,GA
Mayotte,AF
Guinea-Bissau,CF
Egypt,NG
South Georgia and the South Sandwich Islands,PY
Bosnia and Herzegovina,DM
Norfolk Island,VE
Bolivia,ST
Norfolk Island,AM
Philippines,MY
Tajikistan,DK
Norfolk Island,NG
Thailand,SY
Djibouti,PS
Latvia,TW
China,LU
Bahamas,MG
Syrian Arab Republic,DJ
French Southern Territories,LK
Bermuda,UA
Nepal,LU
United States Virgin Islands,PT
Timor-Leste,UA
Wallis and Futuna,ER
Solomon Islands,RU
Swaziland,CD
Swaziland,NI
Saint Helena,PE
French Polynesia,BF
Liechtenstein,TO
United Arab Emirates,MR
Bahrain,PS
Ghana,JM
Suriname,ER
Papua New Guinea,LA
Kyrgyz Republic,TT
Saint Pierre and Miquelon,IQ
Chad,BA
Mali,UA
French Polynesia,NR
Moldova,VC
Heard Island and McDonald Islands,EC
Qatar,KP
United Kingdom,AE
United States Virgin Islands,GY
Lesotho,IN
Saint Helena,BZ
Bulgaria,RU
Aruba,TL
Saudi Arabia,PH
Vanuatu,PG
Cambodia,AF
Palestinian Territory,MY
Marshall Islands,CM
Saint Martin,GR
Austria,BE
Serbia,NL
Guadeloupe,KZ
Martinique,UZ
Burkina Faso,TZ
Tuvalu,BB
Turkey,MW
French Polynesia,PS
Cocos (Keeling) Islands,GA
Guam,TT
Faroe Islands,BW
Syrian Arab Republic,LY
Hungary,TJ
Philippines,SR
Norway,PY
Bosnia and Herzegovina,TV
Ukraine,BE
Samoa,MZ
Libyan Arab Jamahiriya,BS
Aruba,VA
Myanmar,CL
Tokelau,AR
India,MC
United States Virgin Islands,TM
Pitcairn Islands,NE
Indonesia,RW
Korea,MR
Seychelles,SZ
Saint Barthelemy,DE
Kuwait,BR
Sudan,CV
Uruguay,SN
Sierra Leone,EG
Tokelau,AL
Venezuela,AD
Barbados,SY
Oman,TW
Burkina Faso,CN
United Kingdom,BA
Malaysia,BO
Paraguay,JO
Anguilla,GT
Guyana,BA
Togo,MV
Macao,RO
Barbados,KP
Sudan,GY
Peru,RU
Antigua and Barbuda,SG
Western Sahara,TG
Israel,DK
Isle of Man,SN
Bermuda,HN
Christmas Island,KG
Bahamas,LS
Namibia,ZW
Guatemala,TN
Solomon Islands,TJ
Saint Martin,NA
South Georgia and the South Sandwich Islands,IE
Moldova,EE
Chile,PL
Bulgaria,LK
Congo,WS
Myanmar,JP
Sudan,HN
Sierra Leone,JM
Papua New Guinea,BF
Guam,OM
Falkland Islands (Malvinas),NP
Bosnia and Herzegovina,ZM
Bahrain,IN
Papua New Guinea,LB
Korea,IQ
Croatia,SR
Togo,BY
Bermuda,NL
Denmark,BO
Dominica,CM
Afghanistan,MH
Maldives,KI
United Kingdom,FJ
Iran,CO
Japan,LC
Iraq,PG
Trinidad and Tobago,TH
Seychelles,CA
Honduras,KP
Cuba,BI
Christmas Island,ZA
Guernsey,MW
Argentina,LU
Greenland,GY
New Zealand,SN
Slovakia (Slovak Republic),MW
Peru,CD
Uzbekistan,TO
Pakistan,SV
Kiribati,TN
El Salvador,CO
British Indian Ocean Territory (Chagos Archipelago),AO
United States Minor Outlying Islands,QA
Cook Islands,GM
Lesotho,MR
United States Virgin Islands,WS
United States Virgin Islands,KE
Montserrat,MK
South Georgia and the South Sandwich Islands,GT
Cook Islands,KH
Angola,EG
Honduras,AD
Qatar,PA
Qatar,MM
British Indian Ocean Territory (Chagos Archipelago),ER
Myanmar,TR
Palau,HN
Marshall Islands,IL
Slovenia,VN
Martinique,ID
Turkey,GE
Honduras,RO
Somalia,MK
Anguilla,GE
Yemen,GH
Nauru,VC
Mauritania,BD
Jersey,KG
Montenegro,NL
Ecuador,AE
Kazakhstan,ER
Tokelau,BS
Belize,HR
Austria,MT
Korea,MA
Serbia,LT
Angola,LV
Malta,CZ
United States Virgin Islands,DE
Guinea-Bissau,BW
Saint Pierre and Miquelon,MM
Turks and Caicos Islands,UG
Estonia,MT
Argentina,NA
Ghana,VC
Russian Federation,DM
Chile,MM
Namibia,NO
Albania,MC
Liberia,NE
Sri Lanka,CH
Singapore,IT
Peru,BA
United Arab Emirates,CN
Cuba,LB
Hungary,DJ
Panama,DZ
Swaziland,IE
Faroe Islands,VE
Palau,SN
Wallis and Futuna,TV
Latvia,FI
Chad,MU
Portugal,LS
Belize,SO
Macao,CM
Suriname,LY
Malta,LC
Georgia,NO
San Marino,GN
French Guiana,BG
Niger,TV
Cayman Islands,KI
Iraq,BY
Colombia,KW
Belarus,HU
Lesotho,IR
Maldives,VE
Israel,CH
Saint Kitts and Nevis,BF
Japan,CL
Central African Republic,KP
Bulgaria,JM
Japan,LU
Algeria,MV
Tonga,BR
Estonia,JO
Mauritius,SZ
Peru,MC
Mali,EG
Guam,YE
Israel,AD
Ghana,BZ
Latvia,FR
New Caledonia,QA
Austria,BW
Gabon,WS
Vietnam,AD
Niue,CZ
Seychelles,TJ
Niue,GY
Iraq,BJ
Macao,BE
Palestinian Territory,SY
British Indian Ocean Territory (Chagos Archipelago),ZW
Saint Kitts and Nevis,BF
Finland,PH
China,CY
Albania,BO
Greenland,SK
Sierra Leone,RW
Papua New Guinea,DK
Zimbabwe,SG
Belize,BH
Moldova,DJ
Liechtenstein,IN
French Guiana,PT
Iran,MV
Kyrgyz Republic,TZ
Mauritania,EE
Nauru,DK
Greece,CR
Albania,KZ
Denmark,BZ
Zambia,SI
Turkey,MA
Tunisia,ZM
Czech Republic,PY
Switzerland,CN
Guernsey,LB
Afghanistan,IE
Ecuador,LY
Italy,MH
Norfolk Island,LV
Guinea,CM
Bulgaria,JP
China,GQ
Thailand,CA
Myanmar,LT
Saint Kitts and Nevis,LB
Nepal,TG
Belize,PE
Montserrat,LK
Somalia,BB
Brazil,MV
North Macedonia,SE
Turkmenistan,MD
Norway,BD
Albania,DE
Gambia,YE
Gibraltar,NR
Jamaica,NA
Turks and Caicos Islands,FM
Spain,SC
Norfolk Island,TL
Jamaica,QA
Austria,CD
Morocco,SI
Cayman Islands,CZ
Tuvalu,CL
Maldives,IE
Benin,DK
Hong Kong,MK
Australia,ZM
South Georgia and the South Sandwich Islands,ET
Afghanistan,KR
Aruba,KH
Bhutan,UA
Jersey,KM
Congo,MN
Portugal,BO
Dominica,MZ
Luxembourg,JO
Croatia,SO
Saint Barthelemy,CM
Indonesia,PK
Antigua and Barbuda,SL
Burkina Faso,KG
Montserrat,SN
Martinique,CR
Cuba,HU
Aruba,BH
Malta,DO
Lebanon,AR
Morocco,DE
Mauritius,AG
Sri Lanka,GY
Norfolk Island,AL
Central African Republic,AF
Romania,UA
Croatia,NG
Kenya,KG
Mongolia,TO
Uganda,AZ
Ireland,OM
Anguilla,IL
Saint Helena,MM
Barbados,SK
Dominica,NP
Luxembourg,PT
Seychelles,SO
Sierra Leone,CD
Kuwait,SB
Congo,KI
Portugal,SL
French Guiana,TD
Ghana,ET
Trinidad and Tobago,MX
Cuba,BA
Syrian Arab Republic,GH
Malaysia,CM
Eritrea,LY
Belarus,PE
Afghanistan,LS
Georgia,TL
Qatar,SD
Albania,TZ
Saint Martin,DO
Aruba,BB
Chad,EC
Netherlands,MX
Solomon Islands,IL
United Kingdom,SE
Dominica,DJ
Cote d'Ivoire,JO
Barbados,HU
Lebanon,NI
Belize,ME
Tunisia,GT
Azerbaijan,SE
Swaziland,VU
Swaziland,LR
New Caledonia,TJ
Saint Helena,NL
Guam,KN
Burkina Faso,UY
Tonga,MC
Gibraltar,EC
Guadeloupe,PW
Reunion,UG
Tonga,SO
United Kingdom,AR
